state,mean
alabama,7.590419665
alaska,1.861773952
arizona,4.624284422
arkansas,7.064178054
california,6.528815098
colorado,3.502367071
connecticut,5.464162307
delaware,7.791054126
florida,6.936202245
georgia,7.385999794
hawaii,0
idaho,4.482078511
illinois,7.390598143
indiana,7.513311561
iowa,6.181563625
kansas,5.245605455
kentucky,7.143327315
louisiana,7.71285882
maine,4.076034603
maryland,7.488358156
massachusetts,5.226798563
michigan,5.502899003
minnesota,5.502899003
mississippi,7.086347121
missouri,6.507034642
montana,4.304163215
nebraska,4.538429514
nevada,3.924016493
new hampshire,4.455067829
new jersey,7.476640084
new mexico,3.552042508
new york,5.894167099
north carolina,6.600725204
north dakota,4.05526442
ohio,7.308513571
oklahoma,6.469995321
oregon,3.711166023
pennsylvania,7.258078355
rhode island,6.890642712
south carolina,4.29846714
south dakota,7.224735994
tennessee,7.220117808
texas,6.132362123
utah,3.827359737
vermont,4.697100753
virginia,6.413157414
washington,4.089449011
west virginia,6.291770801
wisconsin,5.484601329
wyoming,3.359604702
