County,County Code,Deaths,Population,Crude Rate/100k
"O'Brien County, IA",19141,31,13679,226.6
"Gulf County, FL",12045,28,13534,206.9
"Bienville Parish, LA",22013,23,12983,177.2
"Covington County, MS",28031,30,18518,162
"Carroll County, TN",47017,45,27779,162
"Clarke County, AL",1025,37,23291,158.9
"Callahan County, TX",48059,21,14110,148.8
"Martin County, NC",37117,33,22178,148.8
"Overton County, TN",47133,33,22566,146.2
"Young County, TX",48503,26,17904,145.2
"Monroe County, MS",28095,51,35123,145.2
"Houston County, TX",48225,33,22835,144.5
"Chelan County, WA",53007,109,77574,140.5
"Grayson County, VA",51077,21,15493,135.5
"Jackson County, AL",1071,67,51582,129.9
"Wyandot County, OH",39175,28,21711,129
"Chambers County, AL",1017,42,32865,127.8
"Union County, GA",13291,32,25358,126.2
"Avery County, NC",37011,22,17571,125.2
"Chattooga County, GA",13055,31,24843,124.8
"Emanuel County, GA",13107,28,22507,124.4
"Houston County, MN",27055,23,18632,123.4
"Hood County, TX",48221,77,63527,121.2
"Mahaska County, IA",19123,27,22370,120.7
"Green County, WI",55045,44,36603,120.2
"Tishomingo County, MS",28141,23,19275,119.3
"Ashley County, AR",5003,23,19339,118.9
"Gibson County, TN",47053,58,49159,118
"Attala County, MS",28007,21,18004,116.6
"Logan County, IL",17107,33,28383,116.3
"Hutchinson County, TX",48233,24,20677,116.1
"Webster Parish, LA",22119,44,37943,116
"White County, TN",47185,32,27707,115.5
"Scotland County, NC",37165,40,34637,115.5
"Yankton County, SD",46135,26,22742,114.3
"Grant County, AR",5053,21,18449,113.8
"Crawford County, OH",39033,47,41338,113.7
"Fillmore County, MN",27045,24,21135,113.6
"Fairfield County, SC",45039,25,22059,113.3
"Lawrence County, TN",47099,50,44432,112.5
"Itawamba County, MS",28057,26,23261,111.8
"Grenada County, MS",28043,23,20610,111.6
"Walla Walla County, WA",53071,68,61292,110.9
"Leake County, MS",28079,25,22741,109.9
"Otero County, CO",8089,20,18201,109.9
"Geneva County, AL",1061,29,26411,109.8
"Union County, OR",41061,29,26551,109.2
"Clay County, MS",28025,21,19352,108.5
"Jackson County, FL",12063,50,46085,108.5
"Bosque County, TX",48035,20,18603,107.5
"Iosco County, MI",26069,27,25140,107.4
"Knox County, IL",17095,52,49053,106
"Effingham County, IL",17049,36,34065,105.7
"Macon County, NC",37113,38,35994,105.6
"Llano County, TX",48299,23,21958,104.7
"Lee County, MS",28081,89,85466,104.1
"Cullman County, AL",1043,88,84515,104.1
"Pike County, AL",1109,34,32966,103.1
"Fannin County, TX",48147,37,35913,103
"Alcorn County, MS",28003,38,36889,103
"Hamblen County, TN",47063,67,65110,102.9
"Manistee County, MI",26101,25,24738,101.1
"Lauderdale County, AL",1077,94,93368,100.7
