county_fips,year_2015,year_2016,year_2017,year_2018,State,,state,Mean_2015,Mean_2016,Mean_2017,Mean_2018,,Final_Mean
1001,8.133046927,7.854064772,8.367151355,7.553800397,alabama,,alabama,7.853216833,7.735887016,7.607750182,7.164824628,,7.590419665
1003,7.597692685,7.449803633,7.412174767,6.928178694,alabama,,alaska,2.483621788,1.5013884,1.590741838,1.871343781,,1.861773952
1005,7.271396498,7.428289178,7.5844185,6.934755276,alabama,,arizona,4.376756918,4.842979069,4.709059551,4.568342148,,4.624284422
1007,8.492387097,8.205935484,8.435935484,7.459483871,alabama,,arkansas,7.293387629,6.981092572,6.907677034,7.074554981,,7.064178054
1009,8.038115502,8.011489362,7.465714286,7.263404255,alabama,,california,6.104420897,5.300488896,6.457908988,8.25244161,,6.528815098
1011,7.286245111,7.526205997,7.570338983,6.962581486,alabama,,colorado,3.261129144,3.190597276,3.676804035,3.880937828,,3.502367071
1013,7.592580982,7.236415883,7.276802508,6.820950888,alabama,,connecticut,6.313457855,5.133733862,4.912402131,5.49705538,,5.464162307
1015,8.395501956,8.589895698,7.965580183,7.437027379,alabama,,delaware,8.769639294,7.489619953,7.65938041,7.245576846,,7.791054126
1017,7.559879437,7.958137977,7.897856664,7.132150033,alabama,,florida,6.841406166,7.021431872,7.300239547,6.581731395,,6.936202245
1019,8.475925926,8.666732804,8.228108466,7.594510582,alabama,,georgia,7.475010649,7.7800225,7.482102811,6.806863217,,7.385999794
1021,8.209818388,8.065550511,8.148694665,7.476106697,alabama,,hawaii,0,0,0,0,,0
1023,7.975219684,7.80887522,7.791476274,7.259314587,alabama,,idaho,4.370273473,4.075835966,5.171636469,4.310568136,,4.482078511
1025,8.023139422,7.683002925,7.517224569,7.04439389,alabama,,illinois,7.72488557,7.006060188,7.291686121,7.539760694,,7.390598143
1027,7.679973907,7.807762557,7.389236791,7.062557078,alabama,,indiana,7.922311298,7.259903948,7.370269257,7.50076174,,7.513311561
1029,8.007464789,8.091267606,7.597957746,7.194577465,alabama,,iowa,6.530076956,5.91031015,5.947867599,6.337999794,,6.181563625
1031,7.213617277,7.011457708,7.217876425,6.928374325,alabama,,kansas,5.281900208,5.06643416,5.191852294,5.44223516,,5.245605455
1033,7.640516698,7.320163831,7.039886578,7.010901071,alabama,,kentucky,7.400632171,7.386015308,6.803306689,6.983355093,,7.143327315
1035,7.514081827,7.325737393,7.087012369,6.746384396,alabama,,louisiana,7.64185583,7.608547555,7.638105635,7.962926261,,7.71285882
1037,7.978113664,7.891112455,7.928053204,7.282527207,alabama,,maine,4.404438862,3.859216871,4.128424472,3.912058205,,4.076034603
1039,7.311033411,7.071484071,7.061655012,6.92024087,alabama,,maryland,8.545826626,7.210071057,7.266844369,6.930690573,,7.488358156
1041,7.330203546,7.114707814,7.271831911,6.820551543,alabama,,massachusetts,5.916358645,4.846772197,4.944324345,5.199739066,,5.226798563
1043,7.880262467,7.939160105,7.233018373,7.095485564,alabama,,michigan,5.987227714,5.240903156,5.343152533,5.440312608,,5.502899003
1045,7.129978118,7.029467542,7.139970824,6.893508388,alabama,,minnesota,,,,,,5.502899003
1047,8.294435352,7.792021277,8.148281506,7.246644845,alabama,,mississippi,,,,,,7.086347121
1049,7.355421079,7.62491175,6.967322239,6.695057993,alabama,,missouri,,,,,,6.507034642
1051,8.071845867,7.969359851,8.265071473,7.566500932,alabama,,montana,,,,,,4.304163215
1053,7.433290211,7.247994825,7.129538594,6.699310047,alabama,,nebraska,,,,,,4.538429514
1055,8.16534867,8.384687275,8.047232207,7.566642703,alabama,,nevada,,,,,,3.924016493
1057,7.897435897,7.695934959,7.398186366,7.010881801,alabama,,new hampshire,,,,,,4.455067829
1059,7.275304878,7.06847561,6.703902439,6.807682927,alabama,,new jersey,,,,,,7.476640084
1061,7.191601976,7.037896965,6.99089626,6.985179958,alabama,,new mexico,,,,,,3.552042508
1063,8.135627284,7.699878197,7.903410475,7.133252132,alabama,,new york,,,,,,5.894167099
1065,8.291113816,7.739500913,7.998174072,7.15100426,alabama,,north carolina,,,,,,6.600725204
1067,7.016938342,7.085896527,7.25924876,6.78355776,alabama,,north dakota,,,,,,4.05526442
1069,7.476923077,7.074685315,7.284195804,7.175734266,alabama,,ohio,,,,,,7.308513571
1071,7.531761442,7.96536061,7.228016644,6.956969487,alabama,,oklahoma,,,,,,6.469995321
1073,9.040390071,8.741099291,8.86893617,8.413723404,alabama,,oregon,,,,,,3.711166023
1075,7.861629435,7.502365309,7.120827858,6.847306176,alabama,,pennsylvania,,,,,,7.258078355
1077,7.853416486,7.240238612,6.927114967,7.022234273,alabama,,rhode island,,,,,,6.890642712
1079,7.592570171,7.581728123,7.009301046,6.960099064,alabama,,south carolina,,,,,,4.29846714
1081,7.585307443,7.693398058,7.796763754,7.159029126,alabama,,south dakota,,,,,,7.224735994
1083,8.02116129,7.781870968,7.355290323,7.290645161,alabama,,tennessee,,,,,,7.220117808
1085,7.943316694,7.672268441,7.855795896,7.221242374,alabama,,texas,,,,,,6.132362123
1087,7.664633355,7.942634653,7.837897469,7.46229721,alabama,,utah,,,,,,3.827359737
1089,7.936967054,7.934883721,7.714389535,7.39626938,alabama,,vermont,,,,,,4.697100753
1091,8.057615353,7.813842385,7.893793385,7.222253981,alabama,,virginia,,,,,,6.413157414
